labelcode,cutword
42,首長 駕駛 是否 適用 勞動基準法 條之 規定
136,申請 工廠 登記 工廠 租賃 無法 取得 水費 申辦
90,我可以 申請 使用 藝文 推廣 處 城市 舞台
98,民眾 繳交 交通 違規 罰 鍰 何種 用途
23,事業單位 招募 員工 招募 公司 所在地 當地人 非 當地人 求職 人 主張 就業 歧視
130,北投 焚化 廠 主要 工作
115,民眾 參與 內湖垃圾焚化廠 廢棄物 進廠 檢查 作業 注意事項
131,道路 側溝 蓋 損壞 鬆動 遺失 反應 修復
17,臺北市 新增 公告 禁菸 場所 為何 違規 吸菸者 罰 鍰
117,區段 徵收 土地 補償費 應於 發給
122,申請 本市 團體 辦理 客家文化 語言 相關 研習 計畫 補助
138,動物 救援隊 提供 服務項目 服務 時段 為何
41,營業稅 問題 請教
39,幼兒園 教保 服務 人員 配置 為何
117,區段 徵收 範圍 私有土地 所有權 人 選擇 補償 方式 為何
132,不動產 經紀 業於 何種 情況 下 應向 所在地 直轄市 或縣 市 主管機關 申請 備查
95,水價 一度 元
67,勞動 契約 離職 後 競業禁止 規定 是否 合法
12,市政 大樓 東南 景觀 區 人工 沙灘 是否 租借 舉辦活動
74,捐贈 人行道 座椅 需 準備 文件 辦理 方式
95,直飲 台 喝水 衛生
98,更改 罰單 寄送 地址 寄至 通信地址
119,何謂 臺北市夜市 食材 登錄 平台
32,身心障礙 鑑定 相關 問題
44,外國人 繳納 印花稅
0,文化局 押 標金 保證金 繳納 專戶 為何
134,請問 農產品 販運 商 許可證 有效 期間 多久
87,台北 卡 目前 衛生局 發行 二代 健康 卡 有何
21,請問 參觀 臺北探索館 之後 反映 參觀 意見
107,數位 學生證 掛失 手續費 負擔
146,行道樹 懸掛 燈飾 申請
76,社區 建築師 辦理 事情
54,檢舉 交通 違規 檢舉 獎金
116,逾期 未 申報 申報 不實 是否 處罰
30,YouBike 還會 增加 站位
89,天文館 開放 時間
24,工讀 生於 紀念日 勞動節 中央 主管機關 規定 應 放假 日出 勤 工作 工資 應 發給
79,想 申請 花卉試驗中心 園區 拍攝 影片 收費 需要 辦手續
67,何謂 合格 合梯
18,機電 設計 台北 捷運 環狀線 第一階段 南機廠 維修 規模 等級 為何
64,獨子 緩召 後備軍人 申請 獨子 緩召 辦理 需 符合 條件 應 檢附 資料
136,公害 糾紛 調處 費用 計算 收取
24,加班 時間 跨夜 凌晨 工時 計算
89,請問 已經 登記 參加 公共服務 學生 登記 後 取消 換人
28,網路 申請 建築 線 指示 辦理
129,環境保護局 廢棄物 處理 場內 設置 山豬窟 游泳池 開放 時間
103,LINE 帳號 被盜
36,發生 交通事故 後 處理 後續 事宜
123,愛心 悠遊卡 能刷
103,遺失 身分證 需向 警察局 報案
39,五歲 免 學費 請問 就讀 本市 就讀 外縣市 幼兒園 歲 幼兒 申領 臺北市 助 妳 好孕 歲免 學費 補助 方式 相同 應 提出申請 需要 準備 文件
113,士林 陽明山 計程車 共乘 人數 最長 等候 時間
11,申請 成立 社區發展 協會 準備 文件
26,正俗 專案 罰 鍰 可否 申請 分期付款
92,檢舉 廢棄物 污染 獎勵金 事證 照片 錄影 注意 事項
74,臺北市 民 人行道 設置 露天 座 管理 辦法 內容 暸解 建議 事項 處理
26,若要 申請 國宅 公設 證明 要向何 單位 申請 應備 文件
19,校園 開放 臺北市 公立 各級 學校 泳池 使用 時段
45,設籍 臺北市 原住民 學生 就讀 外縣市 國中 以上 學校 申請 原住民 學生 交通 補助費
47,臺北市政府 公務人員 健康檢查 辦理 方式
65,道路 清掃 維護 權責
40,颱風 期間 學校 開放 停車 時間
7,違反 臺北市 工商業 節能減碳 輔導 管理 自治 條例 罰則 為何
16,就讀 公私 幼兒園 身心障礙 幼兒 可不可以 申請 教育費 補助
45,請問 臺北市政府 原民 針對 原住民 兒童 相關 托育 補助 幾種 補助 有何 資格 限制
50,市轄區 以前 登記 未定 期限 地上權 清查 公告 後 地上權 人認 其非 屬地 籍 清理 條例 條 規定 應 清理 範疇 可否 請求 塗銷 地上權 登記 事項 欄 註 記 申請
103,接到 詐騙 電話
4,長者 預防 走失 手鍊 身心障礙者 防 走失 手鍊 有何
118,圖書館 借閱 證 遺失 是否 掛失 系統
58,碧山 貴子坑 露營 場 車子 開進去
144,土地 徵收 意義 為何
2,身心障礙者 房屋 租金 補貼 發放
30,機 慢車 退出 騎樓 機車 位 減少 因應
147,我家 接用 污水下水道
132,房租 超過 土地法 條第 項 法定 限時 土地法 條 申請 房屋 租用 爭議 不動產 糾紛 調處
123,悠遊卡 一卡通 之於 臺北市 服務中心 設於 聯絡 方式 為何
83,公告 登錄 古物 屬 私人 所有者 日後 管理 維護
109,他的國 家 公開 類似 土壤液化 潛勢 圖
20,緩 起訴 戒癮 治療
127,狂犬病 病性 鑑定
148,本市 提供 臨時 集會遊行 公園 場地 是否 全數 開放
15,查詢 臺北市 附屬 單位預算 相關 資料
41,我要 索取 一些 空白 申請書 表格 哪裡 索取
18,工程管理 捷運 在建 工程 施工 中 各線 預定 完工 年期
23,依性 平法 條 規定 請 星期 五日 產假 不給 薪 函釋
49,環保 小撇步 哪裡 下載
27,職工福利 委員會 相關 法規 查詢
142,非法定 建物 空地 證明書 申請
141,攤商 變更 營業 種類
141,臺北市 公有 零售 市場 幾個 名稱 為何 地址 電話
87,遺失 台北 卡 辦理 方式
29,防火巷 意義 法令 依據 為何
102,取得 行政區域 圖
93,基地 綠 美化 完工後 管理 維護 期程 未達 計畫 規定 期程 影響
3,申請 弱勢 家庭 兒童 少年 生活 扶助 及應 準備 文件 單位 申請
136,環保 義工 服務項目
82,掩埋場 當地 里 相鄰 里 住戶 申請 電費 補助
60,機電 設施 捷運 文湖線 列車 線 列車
52,可否 要求 健身 業者 先 給予 一份 契約書 閱讀 決定 是否 加入 會員
99,商業登記 智慧型 表單 操作 使用
32,請問 有無 符合 身心障礙 鑑定 標準
90,租借 藝文 推廣 處 大稻埕戲苑 表演 場地 查詢 租借 費用
96,社區大學 課程 相關 文宣 公布 索取 地點 為何
117,區段 徵收 區內 公園 綠地 道路 公共設施 施作 竣工 後 開放 民眾 使用
143,學校 教職員 文康活動 辦理 依據 辦理 時間
123,遇到 驗票 機 故障 無法 感應 請問 改善 措施 司機 似乎 不知 道 強迫 乘客 投現 規定 應 處理
60,機電 設施 捷運系統 電 扶梯 是否 發生 倒 滑 事件
68,臺北市 目前 幾處 公立 靈骨樓 塔 位置
91,行政 救濟 程序 確定 應 退還 稅款 稅捐稽徵 機關 退稅 有無 期限 規定
114,鄰里 交通 環境 改善 計畫 執行程序 安排
1,北投 士林 科技園區 科技產業 用地 面積 引進 產業 為何
148,臺北市公園 管理 自治 條例 公園 行為
103,邇來 詐騙集團 猖獗 手法 不斷 推層 出新 以下 提供 民眾 新興 常見 詐騙 手法 避免 成為 歹徒 覬覦 對象
13,臺北市立 陽明 教養院 醫療保健 服務
135,植有 晶片 寵物 動物 之家 尋獲 主人 欲 領回 寵物 需 支付 費用
25,我可以 拒絕 登革熱 緊急 噴藥
56,辦理 質借 時 需備 證件 為何 質借 客戶 有無 僅限於 住居 地區
55,人 是否 從事 按摩 工作
148,攜帶 寵物 牲畜 入園 有無 規定 如未 規定 處分
20,辨識 朋友 家人 是不是 藥物濫用
124,請領 就業 促進 津貼 實施辦法 職業訓練 生活 津貼 須備 證件 為何 辦理
119,攤販 公有 市場 攤商 區別
74,設置 露天 座 許可 有效 期間 為何
70,公車 分段 點 決定 依據 為何
105,迪化 污水處理 廠 附設 休閒 運動公園 運動 設施
101,是否 辦理 勞工 電影院 活動 索取 勞工 電影院 票券
16,特 教科 請問 幼兒 學前 鑑定 相關 計畫 表格 查詢 下載
31,領取 交通 違規 吊扣 駕照 需要 證明文件
68,請問 海葬 實施 程序 為何
108,父親 過世 遺留 象牙 處置
63,透過 市民 熱線 反映 市政 問題 為何 提供 姓名 聯絡 電話
37,代辦 工程 臺北市 和平國小 暨 籃球運動 館 新建 工程 案 完成 後 效益 為何
83,可查 臺北市 發展 歷史 圖片 工商 歷史 圖片 都市 演進 繁榮 圖片
100,申請 中山堂 影視 拍攝
48,請問 毒癮 暗娼 愛滋 梅毒 抽血 報告 查詢 專線 暨 服務 時間
104,家暴 案件 被害人 法院 未 核發 民事 保護 令前 警政 單位 主動 關懷 適時 保護 被害人 具體 作法
113,目前 本處 受理 申請 案件 中 提供 全 程式 網路 服務項目 為何
135,北市 動物 之家 收容 動物 期限 多久 後 無人 認養 處置
69,健保 投保 區公所 第六類 人口 辦理 全民 健保 返國 復 保 需要 攜帶 證明文件
38,翡翠水庫 目前 淤積 情形
139,環境保護局 地址 樓層 區域
121,每月 報名 時 可否 報名 兩班 含 以上
61,臺北市 他國 外 城市 關係
93,合法 建物 既存 違建 存記 證明 永久 有效
89,請問 天文館 購票 是否 需 自備 零錢
93,更新 地區 更新 單元 有何
90,索取 藝文 推廣 處 每月 藝文 快訊
126,民眾 打電話 反映 攝食 之後 發生 噁心 嘔吐 腹瀉 疑似 食品中毒 症狀 處理
28,網路 建築 線 指示 申請 案件 成果 領取
42,公務人員 依其 服務 年資 已 享有 天 年休假 起至 次年 止 育嬰 留職停薪 復職 生效 復職 當年度 是否 天 休假
42,免 刷卡 首長 駕駛 加班 應 管理
118,請問 臺北市圖書館 是否 提供 學生 參加 公共服務 機會 請問 國中生 可不可以 參加 服務 相關 報名 手續
124,公司 想 貴 學院 徵才 應該 辦理
70,租用 公車
114,舉辦 臨時 活動 借用 本市 道路 應洽何 單位
63,資料 不用 申請 GPN
4,社會局 受理 捐贈 物資 流程 為何
94,青年 留貸 青年 留學 貸款 是否 須有 保證 人 保證 人 資格 為何
91,接獲 臺北 士林 行政 執行 分署 傳繳 通知 後 欠稅 疑問 應向 查詢
109,地震 時 土壤液化 潛勢 區域 一定 發生 液化
133,我用 臺北 公眾 區 免費 無線 上網 服務 一段時間 未 使用 斷線
129,環境保護局 廢棄物 處理 場內 設置 山豬窟 游泳池 收費 標準
30,申請 仰德大道 通行證 途徑
134,臺北 花卉 批發市場 俗稱 台北 花市 位置 營業時間 聯絡 電話
20,排毒 針 毒品 排出 身體 警方 驗
48,何人 使用 慢性病 連續 處方 箋
9,中低 老人 假牙 補助 臺北市 牙 醫師公會 所屬 醫療 院所 指
77,場地 針對 青少年 提供 免費 優惠
48,乳汁 不夠
14,有機 農產品 經營業 違規 使用 化學農藥 化學肥料 動物 藥品 化學品 違反 農產品 生產 驗證 管理法 條 規定 處罰 規定
48,DEHP 進入 排出 人體
120,何謂 非 學校 型態 實驗 教育 方案 內涵 為何 生 在家 教育 方案
147,污水下水道
25,外籍勞工 定期 健康檢查 後 後續 處理 流程 為何
108,申辦 臺北市 寵物 業 許可證 申請 對象 為何 現行 收費 標準 業者 未 申辦 寵物 業 許可證 違規 營業 有無 罰則
39,公立 幼兒園 收費 標準
63,手語 視訊 服務 服務 時間
98,更改 罰單 寄送 地址 寄至 通信地址
63,民眾 透過 個人電腦 連接 手語 視訊 服務員
116,實價 登錄 是否 申報 登錄 房地 成交價
21,出租 套房 檢舉
6,低收入 戶申 復 多久 收到 公文
47,支領 月 退休金 人員 大陸 女子 再婚 得否 遞補 眷口 報領 配偶 實物 代金
144,徵收 補償費 發放 期限 為何
139,押 標金 履約保證 金 差額 保證金 保固 保證金 繳納 方式 為何
6,清寒 戶 臺北市 市民 以工代賑 輔導 自治 條例 修法 後 還能 擔 臨時工
101,勞動 教育經費 補助 課程 範圍
14,優良 農產品 證明 標章 簡稱 CAS 標章 代表 意義
14,情況 下 主管機關 公布 農產品 經營業 名稱 地址 農產品 加工品 名稱
20,身邊 有人 疑似 吸毒 過量 處理
53,新 納入 適用 職業安全 衛生法 後 事業單位 做 事情
138,非 上班時間 處理 動物 救援 案 處理 家中 動物 受虐 事件
106,收到 限期 接管 通知書 施工 同意書
97,市民 辦理 道路 土地 捐贈 需 準備 文件 辦理 方式 為何
32,兒童 國外 出生 是否 符合 辦理 兒童 醫療 補助 證 資格
34,捷運 轉乘 停車場 身心障礙者 有無 優惠
96,董事會 議 一年 至少 召開 幾次
141,申請 配租 公有 市場 攤位 需要 攜帶 何種 證件
107,簡訊 發送 廠商 是否 學生 基本資料 家長 資料
103,邇來 詐騙集團 猖獗 手法 不斷 推層 出新 以下 提供 民眾 新興 常見 詐騙 手法 避免 成為 歹徒 覬覦 對象
29,放置 空中 氣球 廣告 物 辦理 申請 洽辦 單位 為何
138,接獲 疑似 狂犬病 動物 屍體 需要 清除 並請 單位 送檢 查驗 洽何 單位 處理
38,翡翠水庫 運用 規線 意義
8,成為 志工 資格 為何
16,臺北市政府教育局 提供 特殊教育 學生 獎助金 條件 金額 為何
146,通報 行道樹 傾倒
115,內湖垃圾焚化廠 葫蘆 洲 運動公園 游泳池 免費 使用 對象 兒童 無 身分證 時
148,請問 公園 泳池 開放 時間 地點 票價
28,網路 申請 建築 線 指示 辦理
142,請問 陽台 補登應 檢附 文件
139,招標 文件 領取 方式 為何
106,迪化 污水處理 廠 附設 休閒 運動公園 汽車 停車場 收費 額度 為何 經營 公司 聯絡 電話
25,申請 出生 後 注射 疫苗 紀錄
145,請問 索取 臺北市立美術館 活動 表
65,廢棄 車輛 稅費 止算日
128,動物園 入園 票價
91,想 申請 轉帳 納稅 辦理
125,臺北市自行車道 規劃 方式 為何
146,臺北市公園 場地 申請 使用 須知 實施 內容 為何
5,先生 已經 台北市 設籍 我本人 明年初 小孩 出生 必需 小孩 設籍 年 申請 育兒 津貼
88,我要 申請 核發 菸酒 製造業 或進 口業 許可 執照 應向 機關 洽辦
147,我家 水費 上有 污水下水道 使用費 水費 金額 算
112,設立 購屋 服務 台 目的 為何
135,帶動 物至 動物 之家 做 絕育
19,學校 午餐 廚房 管理 監督機制
147,大樓 地下室 化糞池 未 廢除 為何 還要 徵收 污水下水道 使用費
17,臺北市 婚後 孕前 健康檢查 補助 金額 檢查 項目
14,農產品 經營業 有機 名義 販賣 農產品 農產 加工品 驗證 合格 之前 擅自 使用 有機 農產品 標章 主管機關 下令 產品 停止使用 禁止 使用 有機 農產品 標章 卻 使用 業者 受到 何種 處罰
6,申請 國民年金 所得 未達 一定 標準 資格 認定 計算所 未 達 一定 標準 全家 人口 包含 人
100,租用 中山堂 中正廳
109,地震 時 土壤液化 潛勢 區域 一定 發生 液化
72,民政 請問 學年度 國小 新生 入學年齡 幾歲
9,看到 臺北 扶 軟硬兼施 廣告 請問 服務 對象 申請
35,身心障礙者 車輛 路邊 停車 優惠 措施 收到 小時 免費 小時 費率 繳費通知 單要 處理
118,辦理 悠遊卡 借閱 證 需要 證件
70,本市 提供 公車 間 轉乘 優惠
128,是否 有人 協助 推 輪椅
56,質借 利息 計算 方式 為何 有無 其他費用 收取
146,申請 行道樹 遷移
48,DEHP 影響 健康
124,戶籍 非設籍 臺北市 可否 參加 職能 培育
119,目前 臺北市 攤販 集中區 段 分布 集中 場內 攤販 總計
143,請問 退休 後 改名 是否 影響 退休 俸 發放 是否 教育局 告知
60,機電 設施 裝設 捷運 月台 門有何 優點
134,民眾 反映 第二 果菜 批發市場 內經 常有 民眾 騎 機車 進入 買菜 恐 影響 行走 市民 安全 建議 應 全面禁止 機車 腳踏車 進入
62,申請 土地 合併 複 丈 應備 文件 為何
62,臺北市 各地 政 事務所 地籍圖 建物 測量 成果 圖 謄本 可否 跨所 申請
60,機電 設施 新莊線 蘆洲線 南港 東延段 新店 小碧潭站 臺北捷運公司 列 電聯車 工程 新 採購 之高 運量 電聯車 新增 功能
45,前往 風味館
130,北投 焚化 廠 主要 工作
144,土地 徵收 核准 後 直轄市 或縣 市 政府 辦理 公告
29,樓下 鄰居 廣告 招牌 釘 牆面 請問 檢舉
0,家 鄰近 古蹟 權益 受損
133,臺北 公眾 區 免費 無線 上網 相關 資訊 查詢
125,臺北市 道路 是否 幾米 寬度 規劃 紅 黃線
137,搭乘 公車 時 攜帶 寵物
51,滅火器 使用 方法
7,北投區 復興公園 泉源 公園 硫磺 谷溫泉 泡腳池 開放 時間
97,都市計畫 道路 私有土地 徵收 補償
39,外籍人士 小孩 進入 公立 幼兒園 就讀
105,迪化 污水處理 場 附設 休閒 運動公園 壘球場 申請 借用 須知
74,人行道 設置 露天 座 管理 辦法 申請 資格 為何
85,申請 重購 退 稅後 所有權 人 死亡 經辦 理 繼承 登記 後 是否 須 追繳 原 退還 稅款
13,到達 臺北市立 陽明 教養院
140,木柵 廠 回饋 設施 游泳池 免費 使用 對象
136,公害 糾紛 調處 費用 計算 收取
126,食品中毒
145,請問 取得 臺北市立美術館 學習
134,臺北 花木 批發市場 南區 盆花 花市 是否 開放 攤位 予民眾 申請
127,請問 本市 平地 里區 是否 辦理 免費 狂犬病 預防注射 平地 地區 民眾 是否 攜帶 犬貓 山區 施打 狂犬病疫苗
143,學校 教職員 文康活動 辦理 依據 辦理 時間
59,勞資 會議 代表 任期 多久 起算
111,辦理 寺廟 申請 處分 變更 不動產 許可
95,地熱谷 地址 開放 時間 門票
93,公辦 實施辦法 實施 後 目前 更新 辦理 機制 有何
92,已 接獲 行政 執行 分署 傳繳 通知 原先 告發 存有 疑義 應向 單位 提起 申訴
14,國產 有機 農產品 有機 農產 加工品 管理 規定
118,悠遊卡 借閱 證 遺失 掛失
62,建物 合併 有何 限制 申請
121,錄取 後 無法 上課 未 報到 往後 是否 參加 相同 班期
93,臺北市 都市更新 自治 條例 修正 公告 後 民間 是否 即可 規定 申請 劃定 更新 單元
15,何謂 追加預算
85,房屋 作 自用 住宅 牆壁 屋頂 出租 懸掛 廣告牌 可不可以 申請 地價稅 自用 住宅 用地
79,民眾 臺北市公園 管理 自治 條例 所稱 公園 停放 汽 機車 有無 違反 相關 規定 罰則 為何
100,租用 中山堂 廣場
85,高級 住宅 加價 課徵 房屋 稅 實施
111,宗教 財團法人 會計 諮詢
16,請問 家中 國小 學齡 智能不足 兒童 父母 無法 照顧 教 是否 提供 這類 專業 人員 供需 家庭 自費 聘請
129,前往 內湖復育園區 交通路線
65,家戶 欲 丟棄 廢棄 機油 液態 油漆 處理
74,闢建 人行道 通則
16,未足齡 兒童 申請 提早 入 國民小學 報名 參加 鑑定 資格 條件 為何
117,重劃 前 土地 已 辦竣 登記 項 權利 限制 登記 處理
33,申請 准 演證
89,請問 天文館 提供 學生 參加 公共服務 機會
69,健保 剛出生 嬰兒 加保
73,派外 人員 子女 僑生 臺 就讀 高中 申請 請問 有何 優惠 加分 措施
17,檢舉 菸 害 獎金 比例
100,中山堂
63,府 管計畫 列管
93,申請 系列 綠 美化 完工後 維護 管理 達計畫 規定 期限 建物 存記 證明 失效
45,凱達格蘭文化館 開館 時間 為何
144,查詢 土地 是否 徵收 價購 途徑 為何
99,員工 酬勞 年度 分派 幾次 分派 無 員工 編制 時須否 提列
117,區段 徵收 範圍 私有土地 所有權 人 選擇 補償 方式 為何
38,翡翠水庫 目前 淤積 情形
97,既成 道路 土地 應 賣給 市政府
136,申請 工廠 登記 須 準備 文件
104,性 侵害 遭受 性 侵害 時 單位 求助 警察機關 保護措施 流程
108,國內 野生動物 保育 分級 為何
146,申請 行道樹 遷移
70,年度 公車 手冊 發行 時 為何 時
147,我家 接用 污水下水道
87,網路 市民 修改 個人資料
23,照護 補助 案件 申請 流程 為何
132,人 所稱 工業住宅 非法 住宅 購買 這種 房子 有何 風險
130,北投 焚化 廠 戴奧辛 排放 濃度 檢測 日期 檢測 內容 相關 資訊 是否 公開
25,醫院 孕婦 產下 小頭畸形 新生兒 得知 媽媽 懷孕 期間 曾 去過 茲卡病毒 流行 地區
143,聘用 教師 正式 教師 認定 標準 為何
134,民眾 反映 市場 銷售 人員 態度 事宜
107,數位 學生證 優缺點 為何
91,黃金 擔保 品 計算 價值
100,查詢 中山堂 中正廳 光復 廳 廣場 檔期
116,查詢 本市 公告地價 公告 現值
49,領取 低收入 戶及 中低收入 戶 專用 垃圾袋 抵價券 需 準備 文件 能否 代領
81,臺北 青年 職涯 發展 中心
19,暑期 游泳 跨校 參加
63,受理 陳情 案 為何 需留 真實 姓名 聯絡 電話
114,陽明山 仰德大道 交通管制 狀況
15,何謂 政府預算
113,士林 陽明山 計程車 共乘 搭乘 共乘 營業時間
8,夜間 假日 失業 生病 意外 因素 導致 生活 困難 需 協助者
80,本次 自動駕駛 小巴 實驗 是否 合法
94,青年 留貸 青年 留學 貸款 逾期 未 還款 影響
47,因案 停 休 職 退保 留職停薪 選擇 退保 人員 復職 同日 辦理 退休 資遣者 得否 請領 養老 給付
102,臺北市 區里界 說 內容 為何 取得
5,拒絕 收托因 腸病毒 停課 兒童
143,教師 留職停薪 應 辦理
33,解散 演藝 團體
123,原本 設定 學生 悠遊卡 身分 優惠 效期 到期 後 若因 升學 延後 畢業 因素 學生 身分 享有 學生 票價 優惠
126,餐飲 從業人員 健康檢查 項目 有無 指定 醫院 費用
139,招標 文件 領取 方式 為何
124,目前 正在 進行 招生 作業 職能 培育 上課 時間 白天 晚上
39,申請 登記 公立 幼兒園 應該 文件
73,高中 職 學雜費 補助 相關 問題 申請 資格 應備 文件 洽辦 單位 申請 流程
57,接受 機車 排氣 定期檢驗 需要 攜帶 證件
92,收到 噪音 罰單 應該 那裡 繳納 罰款
21,請問 加入 臺北探索館 志工 服務
147,請問 衛生紙 直接 丟入 馬桶 中
20,緩 起訴 戒癮 治療
82,生肉 生 內臟 生 菜葉 生食 屬於 養豬 廚餘
62,臺北市 各地 政 事務所 地籍圖 建物 測量 成果 圖 謄本 可否 跨所 申請
76,室內 裝修 可將 連接 陽台 外牆 拆除 把陽台 外推
130,垃圾 焚化 處理 技術 北投 焚化 廠 廢水 處理
138,動物 救援 電話 台北市 動物醫院
138,動物 救援 電話 台北市 動物醫院
26,民眾 提出 南港區 都市計畫 通盤 檢討 案 建議 意見 陳情
61,民眾 欲 申請 市長 輓聯 是否 條件 限制 申請
101,辦理 勞動 教育 每場 補助 經費
81,要將 求職 回覆 卡 失業 給付 申請 資料 投遞 信箱 中 可不可以
85,供 計程車 登記 房屋 應 何種 稅率 課徵 房屋 稅
115,民眾 參觀 內湖垃圾焚化廠 申請
104,避免 遭受 性騷擾
53,雇主 勞工 如於 執行 工作 時發 現有 產生 危險 之虞 應 處理
129,環境保護局 廢棄物 處理 場內 設置 山豬窟 游泳池 主要 設施
21,旅館業 個別 旅客 直接 訂房 定型化契約 範本 為何
10,臺北市 補助 創業 團隊 出國 參與 創業 計畫 目的 為何
94,青年 留貸 青年 留學 貸款 是否 須有 保證 人 保證 人 資格 為何
101,勞動 教育 補助 案 中行 政 人員 加班費 應 計列
58,山坡地 開發利用 何種 情形 擬具 水土保持 計畫
103,遺失 身分證 需向 警察局 報案
124,報名 臺北市 職能 發展 學院 職能 培育 暨 職能 進修 課程 報到 上課 地點
106,臺北市 管理 幾座 污水 廠 在那 裡 地圖 參考
121,學員 身分證 字號 錯誤 應 修改
46,何種 情況 下 納稅者 請求 納稅者 權利 保護 官 協助
49,水肥 需 清運 應該 找 處理
75,請問 護理人員 辦理 執業 登錄 所需 證件 辦理 地點
104,發生 性騷擾 時 單位 求助
135,請問 狗狗 施打 疫苗 植入 晶片 後 多久 洗澡
65,舊衣 回收 箱 申請 設置 資格 為何 申請
32,申請 外籍 家庭 看護 工 如持 特定 身心障礙 證明 手冊 辦理 應備 文件 哪裡 辦理
69,健保 剛出生 嬰兒 加保
25,輪狀病毒疫苗 補助 退費 機制
34,臺北捷運公司 國內 發生 相關 呼吸道 傳染病 流感 流感 期間 有否 加強 宣導
15,目前 臺北市 是否 辦理 汽車 貨運 調查 調查 期間 對象 目的 為何
47,本府 週休 二日 機關 首長 駕駛 週六 週日 出勤 時 工資 延長 工時 工資 計給
5,性騷擾 事件 調解 程序 應 進行
136,請問 成為 環保 義工
54,質疑 執勤 員警 取締 無牌 車輛 執法 不當 申訴
142,若民眾 自行 空屋 拆除 非 違章建築 是否 申請 拆除 許可 應備 文件
59,公司 老闆 員工 選派 勞資 會議 勞資雙方 代表
35,電動機車 停車 免費 優惠 範圍
53,學術研究 服務業 研究 人員 中 符合 勞動基準法 施行細則 第五 十條 第二款 第四款 規定 會計 服務業 僱用 會計師 勞動基準法 第八 十四條 工作者 以上 適用 勞動基準法 條之 工作者 工時 限制 為何
71,目前 臺北市 進行 寵物 登記 費用 為何 優惠 臺北市 市民 享有 優惠價格
92,提起 陳情 訴願 後 多久
36,車禍 後 對造 遲遲 不肯 理賠 處理
132,何謂 土地使用分區
13,訂購 臺北市立 陽明 教養院 院生 生產 產品
42,加班 後 未 支領 加班費 補休 規定 為何
145,有何 管道 可於 臺北市立美術館 展出 創作
32,請問 兒童 醫療 補助 證應 辦理
74,位於 路旁 共同 管道 入口 內有 警鈴 響起 單位 聯絡 假日 平日
95,辦理 溫泉 恢復 用水
2,使用 本市 失能 身心障礙 日間 照顧 中心 服務 是否 需要 體檢
42,首長 駕駛 首長 請假 出國 期間 可不可以 加班
76,尋找 室內 裝修 審查 人員
52,運動 中心 改進 事項 處理
6,低收入 戶 中低收入 戶 身心障礙者 生活 補助 中低收入 老人 生活 津貼 年度 辦理 總 清查 後 時會
132,申請 不動產 經紀人 證書 應 檢附 何種 文件
33,請問 參觀 西門紅樓 是否 免費
50,土地 總 登記 時 登記 名義 人 姓名 名稱 住址 記載 不全 不符 土地 逾 公告 申請 登記 期間 無人 申請 登記 處理
49,專用 垃圾袋 外包裝 是否 做 專用 垃圾袋 盛裝 垃圾
133,無線 上網 電磁波 很強 影響 人體 健康
96,社區大學 地址 電話
63,本府 機關 受理 臺北市 單一 陳情 系統 HELLOTAIPEI 案件 後 應 辦理 改分 或代為 立案 作業
37,交通 維持 捷運 信義線 東延段 工程 範圍 廣慈 奉天宮 站 位置
58,山坡地 如有 農地 水土保持 輔導 需求 應 申請
67,未 屆滿 勞資雙方 約定 服務 年限 提前 離職 雇主 要求 勞工 給付 違約 賠償金 是否 合理
79,民眾 臺北市公園 管理 自治 條例 所稱 公園 停放 汽 機車 有無 違反 相關 規定 罰則 為何
86,賠償義務 機關 認定 爭議 時應 解決
16,請問 臺北市 各級 學校 特教 班 就讀
60,機電 設施 捷運系統 電 扶梯 是否 發生 踏階 破裂 傷人 事件
36,車禍 發生 時該 保障 權益
68,遺體 靈柩 運回 辦理
66,社區 下水道 簡易 排放 許可 文件 申請
111,申請 祭祀公業 法人 設立
34,列車 為何 突然 有加 減速 停 站 間 情況
84,如有 家屬 失蹤 應 報案 警察 單位 處理程序
11,申請 籌組 人民團體 應備 文件 為何
94,青年 留貸 出國 攻讀 碩 博士學位 專技 證照 範圍 為何
56,辦理 逾期 未 贖回 質借 物品 公開 現場 標售
126,購買 過期 產品 可疑 產品 處理
23,已經 寄出 辦理 完成 資遣 通報 進行 更正 變更 撤銷 直接 重新 通報 當初 通報 採線 通報 直接 線上 辦理 更正 變更 撤銷
0,臺灣 新文化運動 紀念館 開館 參觀 時間
141,身心障礙 朋友 原住民 朋友 已 臺北市 市場 處 承租 攤位 後 生意 清淡 經營不善 欲 放棄 承租權 日後 可否 再行 申請 配租 空攤
65,市民 資源回收 物要 丟棄 查詢 各區 資源回收 集中地
16,未足齡 兒童 申請 提早 入 國民小學 鑑定 階段 評量 是否 需 全程參加
127,家裡 有養 寵物鳥 人 預防 禽流感
27,職工 福利金 條例 第二條 第一項 第一款 規定 創 資本 總額 提撥 福利金 意涵 為何
90,藝文 推廣 處 文化 巷子 裡 社區 藝術 巡禮 系列 活動 相關 問題 詢問
73,家長 家長 費 學期 中 開會 收費 疑問 請問 學校 家長會 收費 明目 是否 有法 可管
31,是否 使用 行動支付 臨櫃 繳納 交通 違規 罰 鍰
47,支領 月 退休金 人員 大陸 女子 再婚 得否 遞補 眷口 報領 配偶 實物 代金
142,一樓 想 變更 停車 空間 供 車 停車 使用 申請 申請
